108.0000,0.9401,0.6599,0.3557,-0.5672
109.0000,1.1450,0.7249,0.5789,-0.6710
110.0000,1.3300,0.8066,0.7187,-0.7757
111.0000,1.5204,0.8950,0.8632,-0.8748
112.0000,1.7158,0.9769,1.0226,-0.9716
113.0000,1.9159,1.0573,1.1855,-1.0713
114.0000,2.1237,1.1375,1.3615,-1.1673
115.0000,2.3290,1.2087,1.5416,-1.2596
116.0000,2.5200,1.2861,1.6930,-1.3528
117.0000,2.8126,1.3715,1.9521,-1.4897
118.0000,3.0867,1.4398,2.1867,-1.6349
119.0000,3.3677,1.5144,2.4277,-1.7760
120.0000,3.6551,1.5816,2.6796,-1.9178
121.0000,3.9510,1.6506,2.9387,-2.0616
122.0000,4.2554,1.7148,3.2081,-2.2082
123.0000,4.5681,1.7792,3.4865,-2.3551
124.0000,4.8874,1.8383,3.7720,-2.5058
125.0000,5.2125,1.8985,4.0650,-2.6538
126.0000,5.5389,1.9504,4.3626,-2.8005
127.0000,5.8496,2.0058,4.6378,-2.9471
128.0000,6.2425,2.0687,4.9916,-3.1263
129.0000,6.6220,2.1179,5.3285,-3.3125
130.0000,7.0057,2.1710,5.6699,-3.4955
131.0000,7.3954,2.2181,6.0194,-3.6795
132.0000,7.7906,2.2658,6.3737,-3.8646
133.0000,8.1925,2.3095,6.7353,-4.0520
134.0000,8.5997,2.3527,7.1028,-4.2392
135.0000,9.0120,2.3917,7.4752,-4.4293
136.0000,9.4274,2.4303,7.8520,-4.6169
137.0000,9.8442,2.4630,8.2317,-4.8042
138.0000,10.2485,2.4961,8.5966,-4.9900
139.0000,10.7060,2.5364,9.0102,-5.1963
140.0000,11.1563,2.5663,9.4144,-5.4080
141.0000,11.6085,2.5977,9.8211,-5.6174
142.0000,12.0650,2.6247,10.2330,-5.8276
143.0000,12.5240,2.6506,10.6470,-6.0386
144.0000,12.9867,2.6740,11.0655,-6.2498
145.0000,13.4517,2.6950,11.4859,-6.4620
146.0000,13.9180,2.7140,11.9087,-6.6728
147.0000,14.3850,2.7294,12.3327,-6.8836
148.0000,14.8438,2.7420,12.7486,-7.0918
149.0000,15.3276,2.7619,13.1863,-7.3094
150.0000,15.8098,2.7741,13.6212,-7.5310
151.0000,16.2922,2.7858,14.0569,-7.7512
152.0000,16.7764,2.7940,14.4946,-7.9718
153.0000,17.2611,2.8006,14.9327,-8.1926
154.0000,17.7456,2.8042,15.3712,-8.4125
155.0000,18.2304,2.8059,15.8097,-8.6330
156.0000,0.4936,0.3813,0.0937,-0.2991
157.0000,0.3979,0.3246,0.0129,-0.2298
158.0000,0.3757,0.2677,-0.0646,-0.2556
159.0000,0.3183,0.2068,-0.1233,-0.2082
160.0000,0.2814,0.1402,-0.1685,-0.1764
161.0000,0.2439,0.0741,-0.1994,-0.1193
162.0000,0.2104,-0.0006,-0.2032,-0.0545
163.0000,0.2106,-0.0095,-0.1822,-0.1052
164.0000,0.2111,-0.0176,-0.1488,-0.1488
165.0000,0.2118,-0.0246,-0.1052,-0.1822
166.0000,0.2125,-0.0299,-0.0545,-0.2032
167.0000,0.2849,0.0798,0.0772,-0.2623
168.0000,0.3819,0.1697,0.1161,-0.3218
169.0000,0.4831,0.2704,0.1602,-0.3670
170.0000,0.5785,0.3557,0.2122,-0.4038
171.0000,0.6692,0.4518,0.2233,-0.4403
172.0000,0.8166,0.5424,0.3486,-0.5011
173.0000,0.2238,-0.0587,-0.1780,-0.1224
174.0000,0.2715,-0.1271,-0.1267,-0.2038
175.0000,0.2780,-0.1919,-0.0593,-0.1921
176.0000,0.3881,-0.2524,0.0208,-0.2941
177.0000,0.4724,-0.3112,0.1163,-0.3359
178.0000,0.5383,-0.3632,0.2279,-0.3256
179.0000,0.7686,-0.5224,0.3485,-0.4432
180.0000,0.8677,-0.6108,0.3693,-0.4934
181.0000,0.9510,-0.6743,0.4023,-0.5364
182.0000,1.0123,-0.7086,0.4454,-0.5695
